,Unnamed: 0,Unnamed: 0.1,est,se
524,524,524,SwitchDR,1.4160734208054924e-05
525,525,525,MIPS,2.0011317637828104e-05
526,526,526,MIPS (w/ SLOPE),1.7474442293847525e-05
527,527,527,Learned MIPS OneHot,1.649593549603551e-05
528,528,528,Learned MIPS FineTune,1.694853903807812e-05
529,529,529,Learned MIPS Combined,1.6596185690152946e-05
530,530,530,IPS,1.4164878032010004e-05
531,531,531,DR,7.914364358041533e-07
532,532,532,DM,0.00019189732375
533,533,533,SNIPS,1.3055578545470996e-05
534,534,534,SwitchDR,2.6278459366712967e-06
535,535,535,MIPS,8.555715279584679e-06
536,536,536,MIPS (w/ SLOPE),4.495126889861644e-06
537,537,537,Learned MIPS OneHot,1.9489415819755296e-06
538,538,538,Learned MIPS FineTune,2.1696885496992422e-06
539,539,539,Learned MIPS Combined,2.214984869295936e-06
540,540,540,IPS,4.4835310539342254e-10
541,541,541,DR,2.639086101107408e-06
542,542,542,DM,9.179013131296644e-05
543,543,543,SNIPS,1.6372118213989474e-08
544,544,544,SwitchDR,7.919848263820603e-08
545,545,545,MIPS,2.999658209488324e-06
546,546,546,MIPS (w/ SLOPE),7.43176412551101e-06
547,547,547,Learned MIPS OneHot,8.366728181538665e-06
548,548,548,Learned MIPS FineTune,7.680950973406234e-06
549,549,549,Learned MIPS Combined,8.192789812962721e-06
550,550,550,IPS,1.365173658259428e-05
551,551,551,DR,0.0001197826430649
552,552,552,DM,0.0004326856780759
553,553,553,SNIPS,1.4058970083574611e-05
554,554,554,SwitchDR,2.113065799747488e-06
555,555,555,MIPS,2.363362309057497e-06
556,556,556,MIPS (w/ SLOPE),8.205986496995637e-09
